Year;Comp name;Event;Info
2002;WSM Final - group;Weight Throw;25 kg / For max height, 2 attempts to clear each height
2002;WSM Final - group;Fingal's Fingers;5 implements / 75 second time limit / 200 to 300 kg
2002;WSM Final - group;Car Pull;1500 kg / 25 meters / 60 second time limit
2002;WSM Final - group;Viking Press;121 kg / No resting allowed
2002;WSM Final - group;Atlas Stones;5 implements / 75 second time limit / 100 to 160 kg
2002;WSM Final - group;Carry & Flip;35 meters / 75 second time limit / 120 kg farmer's walk (15 m), 400 kg tire flip (15 m)
2002;WSM Final - group;Fingal's Fingers;5 implements / 75 second time limit / 200 to 300 kg
2002;WSM Final - group;Truck Pull;16000 kg / 30 meters / 75 second time limit
2002;WSM Final - group;Conan's Wheel;300 kg
2002;WSM Final - group;Atlas Stones;5 implements / 75 second time limit / 100 to 160 kg
2002;WSM Final - group;Carry & Drag;35 meters / 75 second time limit / 120 kg farmer's walk (15 m), 300 kg chain drag (15 m)
2002;WSM Final - group;Weight Throw;25 kg / For max height, 2 attempts to clear each height
2002;WSM Final - group;Fingal's Fingers;5 implements / 75 second time limit / 200 to 300 kg
2002;WSM Final - group;Car Pull;1500 kg / 25 meters / 60 second time limit
2002;WSM Final - group;Conan's Wheel;300 kg
2002;WSM Final - group;Atlas Stones;5 implements / 75 second time limit / 100 to 160 kg
2002;WSM Final - group;Carry & Flip;35 meters / 75 second time limit / 120 kg farmer's walk (15 m), 400 kg tire flip (15 m)
2002;WSM Final - group;Weight Throw;25 kg / For max height, 2 attempts to clear each height
2002;WSM Final - group;Fingal's Fingers;5 implements / 75 second time limit / 200 to 300 kg
2002;WSM Final - group;Car Pull;1500 kg / 25 meters / 60 second time limit
2002;WSM Final - group;Viking Press;121 kg / No resting allowed
2002;WSM Final - group;Atlas Stones;5 implements / 75 second time limit / 100 to 160 kg
2002;WSM Final - group;Carry & Drag;35 meters / 75 second time limit / 120 kg farmer's walk (15 m), 300 kg chain drag (15 m)
2002;WSM Final - group;Fingal's Fingers;5 implements / 75 second time limit / 200 to 300 kg
2002;WSM Final - group;Truck Pull;16000 kg / 30 meters / 75 second time limit
2002;WSM Final - group;Conan's Wheel;300 kg
2002;WSM Final - group;Atlas Stones;5 implements / 75 second time limit / 100 to 160 kg
2003;WSM Final - group;Farmer's Walk;120 kg / 70 meters / 75 second time limit
2003;WSM Final - group;Squat Lift;75 second time limit / 7 lifts, 245 to 345 kg
2003;WSM Final - group;Train Pull;16000 kg / 16 meters / 75 second time limit
2003;WSM Final - group;Atlas Stones;5 implements / 75 second time limit / 100 to 160 kg
2003;WSM Final - group;Log Medley;4 implements / 75 second time limit / 110 to 155 kg
2003;WSM Final - group;Tire Flip;400 kg / 25 meters / 75 second time limit
2003;WSM Final - group;Carry & Flip;35 meters / 75 second time limit / 225 kg duck walk (15 m), 400 kg tire flip (15 m)
2003;WSM Final - group;Squat Lift;75 second time limit / 7 lifts, 245 to 345 kg
2003;WSM Final - group;Train Pull;16000 kg / 16 meters / 75 second time limit
2003;WSM Final - group;Giant Farmer's Walk;155 kg / 25 meters / 75 second time limit
2003;WSM Final - group;Atlas Stones;5 implements / 75 second time limit / 100 to 160 kg
2003;WSM Final - group;Tire Flip;400 kg / 25 meters / 75 second time limit
2003;WSM Final - group;Farmer's Walk;120 kg / 70 meters / 75 second time limit
2003;WSM Final - group;Train Pull;16000 kg / 16 meters / 75 second time limit
2003;WSM Final - group;Deadlift;295 kg / 75 second time limit / Car deadlift
2003;WSM Final - group;Atlas Stones;5 implements / 75 second time limit / 100 to 160 kg
2003;WSM Final - group;Log Medley;4 implements / 75 second time limit / 110 to 155 kg
2003;WSM Final - group;Tire Flip;400 kg / 25 meters / 75 second time limit
2003;WSM Final - group;Farmer's Walk;120 kg / 70 meters / 75 second time limit
2003;WSM Final - group;Squat Lift;75 second time limit / 7 lifts, 245 to 345 kg
2003;WSM Final - group;Train Pull;16000 kg / 16 meters / 75 second time limit
2003;WSM Final - group;Atlas Stones;5 implements / 75 second time limit / 100 to 160 kg
2003;WSM Final - group;Log Medley;4 implements / 75 second time limit / 110 to 155 kg
2003;WSM Final - group;Tire Flip;400 kg / 25 meters / 75 second time limit
2003;WSM Final - group;Carry & Flip;35 meters / 75 second time limit / 225 kg duck walk (15 m), 400 kg tire flip (15 m)
2003;WSM Final - group;Train Pull;16000 kg / 16 meters / 75 second time limit
2003;WSM Final - group;Giant Farmer's Walk;155 kg / 25 meters / 75 second time limit
2003;WSM Final - group;Deadlift;295 kg / 75 second time limit / Car deadlift
2003;WSM Final - group;Atlas Stones;5 implements / 75 second time limit / 100 to 160 kg
2003;WSM Final - group;Tire Flip;400 kg / 25 meters / 75 second time limit
2004;WSM Final - group;Contest Notes:   - Andrus Murumets replaced Steve Kirit (USA) after three events.;
2004;WSM Final - group;- Brian Turner replaced Hugo Girard (CAN) after six events.;
2004;WSM Final - group;- All events are in a head-to-head format, with a maximum of six points for each event. Deadlift;75 second time limit / 7 lifts, 265 to 370 kg (bonus points start on 3rd lift)
2004;WSM Final - group;Super Yoke;410 kg / 30 meters / 60 second time limit / Bonus points start at 22 metres
2004;WSM Final - group;Atlas Stones;5 implements / 75 second time limit / 100 to 160 kg (one bonus point per stone lifted)
2004;WSM Final - group;Fingal's Fingers;5 implements / 75 second time limit / 200 to 300 kg (one bonus point per finger flipped)
2004;WSM Final - group;Safe Lift;120 kg / 75 second time limit / One bonus point for every two reps
2004;WSM Final - group;Conan's Wheel;300 kg / 75 second time limit / Bonus points for every half-lap, starting after one lap
2004;WSM Final - group;Wrestling;3 bouts (2 pts per bout win, 1 point for staying over 10 seconds in a lost bout)
2004;WSM Final - group;Farmer's Walk;160 kg / 35 meters / 60 second time limit / Bonus points start at 27 metres
2004;WSM Final - group;Carry & Drag;35 meters / 60 second time limit / 100 kg anchor carry (15 m) into 300 kg chain drag (20 m), bonus points start at 27 metres
2004;WSM Final - group;Squat Lift;75 second time limit / 7 lifts, 265 to 370 kg (bonus points start on 3rd lift)
2004;WSM Final - group;Truck Pull;11500 kg / 35 meters / 60 second time limit / Bonus points start at 27 metres
2005;WSM Final - group;Medley;40 meters / 75 second time limit / 100 kg anchor carry (10 m), 300 kg chain drag (10 m), 225 kg duck walk (20 m)
2005;WSM Final - group;Deadlift;75 second time limit / 7 lifts, 210 to 340 kg
2005;WSM Final - group;Hercules Hold;160 kg
2005;WSM Final - group;Fingal's Fingers;5 implements / 75 second time limit / 200 to 300 kg
2005;WSM Final - group;Log Lift;130 kg / 75 second time limit
2005;WSM Final - group;Atlas Stones;5 implements / 75 second time limit / 100 to 160 kg
2005;WSM Final - group;Carry & Drag;40 meters / 75 second time limit / 100 kg anchor carry (20 m), 200 kg chain drag (20 m)
2005;WSM Final - group;Viking Press;130 kg / 75 second time limit / Resting allowed
2005;WSM Final - group;Squat Lift;75 second time limit / 7 lifts, 260 to 360 kg
2005;WSM Final - group;Truck Pull;7250 kg / 25 meters / 75 second time limit
2005;WSM Final - group;Fingal's Fingers;5 implements / 75 second time limit / 200 to 300 kg
2005;WSM Final - group;Atlas Stones;5 implements / 75 second time limit / 100 to 160 kg
2005;WSM Final - group;Medley;40 meters / 75 second time limit / 100 kg anchor carry (10 m), 300 kg chain drag (10 m), 225 kg duck walk (20 m)
2005;WSM Final - group;Squat Lift;75 second time limit / 7 lifts, 260 to 360 kg
2005;WSM Final - group;Hercules Hold;160 kg
2005;WSM Final - group;Fingal's Fingers;5 implements / 75 second time limit / 200 to 300 kg
2005;WSM Final - group;Log Lift;130 kg / 75 second time limit
2005;WSM Final - group;Atlas Stones;5 implements / 75 second time limit / 100 to 160 kg
2005;WSM Final - group;Carry & Drag;40 meters / 75 second time limit / 100 kg anchor carry (20 m), 200 kg chain drag (20 m)
2005;WSM Final - group;Deadlift;75 second time limit / 7 lifts, 210 to 340 kg
2005;WSM Final - group;Hercules Hold;160 kg
2005;WSM Final - group;Fingal's Fingers;5 implements / 75 second time limit / 200 to 300 kg
2005;WSM Final - group;Log Lift;130 kg / 75 second time limit
2005;WSM Final - group;Atlas Stones;5 implements / 75 second time limit / 100 to 160 kg
2005;WSM Final - group;Medley;40 meters / 90 second time limit / 100 kg anchor carry (10 m), 300 kg chain drag (10 m), 225 kg duck walk (20 m)
2005;WSM Final - group;Viking Press;130 kg / 75 second time limit / Resting allowed
2005;WSM Final - group;Deadlift;75 second time limit / 7 lifts, 210 to 340 kg
2005;WSM Final - group;Truck Pull;7250 kg / 25 meters / 75 second time limit
2005;WSM Final - group;Fingal's Fingers;5 implements / 75 second time limit / 200 to 300 kg
2005;WSM Final - group;Atlas Stones;5 implements / 75 second time limit / 100 to 160 kg
2006;WSM Final - group;Medley;50 meters / 75 second time limit / 100 kg cannonball carry (25 m), 120 kg farmer's walk (25 m)
2006;WSM Final - group;Keg Toss;10 implements / 90 second time limit / 10x 27 kg kegs, 4.40 metres
2006;WSM Final - group;Deadlift;300 kg / 75 second time limit / Car deadlift
2006;WSM Final - group;Car Walk;408 kg / 25 meters / 75 second time limit
2006;WSM Final - group;Rock Press;4 implements / 90 second time limit / 103 to 133 kg
2006;WSM Final - group;Loading Race;3 implements / 90 second time limit / 3x 100 kg barrels
2006;WSM Final - group;Carry & Drag;40 meters / 75 second time limit / 100 kg cannonball carry (20 m), 220 kg sled drag (20 m)
2006;WSM Final - group;Keg Toss;10 implements / 90 second time limit / 10x 27 kg kegs, 4.40 metres
2006;WSM Final - group;Deadlift;300 kg / 75 second time limit / Car deadlift
2006;WSM Final - group;Fingal's Fingers;5 implements / 75 second time limit / 200 to 300 kg
2006;WSM Final - group;Farmer's Walk;120 kg / 35 meters / 75 second time limit
2006;WSM Final - group;Loading Race;3 implements / 90 second time limit / 3x 100 kg barrels
2006;WSM Final - group;Carry & Drag;40 meters / 75 second time limit / 100 kg cannonball carry (20 m), 220 kg sled drag (20 m)
2006;WSM Final - group;Deadlift;300 kg / 75 second time limit / Car deadlift
2006;WSM Final - group;Fingal's Fingers;5 implements / 75 second time limit / 200 to 300 kg
2006;WSM Final - group;Car Walk;408 kg / 25 meters / 75 second time limit
2006;WSM Final - group;Farmer's Walk;120 kg / 35 meters / 75 second time limit
2006;WSM Final - group;Loading Race;3 implements / 90 second time limit / 3x 100 kg barrels
2006;WSM Final - group;Carry & Drag;40 meters / 75 second time limit / 100 kg cannonball carry (20 m), 220 kg sled drag (20 m)
2006;WSM Final - group;Keg Toss;10 implements / 90 second time limit / 10x 27 kg kegs, 4.40 metres
2006;WSM Final - group;Deadlift;300 kg / 75 second time limit / Car deadlift
2006;WSM Final - group;Farmer's Walk;120 kg / 35 meters / 75 second time limit
2006;WSM Final - group;Rock Press;4 implements / 90 second time limit / 103 to 133 kg
2006;WSM Final - group;Loading Race;3 implements / 90 second time limit / 3x 100 kg barrels
2006;WSM Final - group;Medley;50 meters / 75 second time limit / 100 kg cannonball carry (25 m), 120 kg farmer's walk (25 m)
2006;WSM Final - group;Deadlift;300 kg / 75 second time limit / Car deadlift
2006;WSM Final - group;Fingal's Fingers;5 implements / 75 second time limit / 200 to 300 kg
2006;WSM Final - group;Car Walk;408 kg / 25 meters / 75 second time limit
2006;WSM Final - group;Rock Press;4 implements / 90 second time limit / 103 to 133 kg
2006;WSM Final - group;Loading Race;3 implements / 90 second time limit / 3x 100 kg barrels
2007;WSM Final - group;Medley;32 meters / 75 second time limit / 120 kg farmer's walk (10 m), 100 kg barrel (10 m), 111 kg barrel (12 m)
2007;WSM Final - group;Fingal's Fingers;5 implements / 75 second time limit / 200 to 300 kg
2007;WSM Final - group;Hercules Hold;160 kg
2007;WSM Final - group;Deadlift;75 second time limit / 7 lifts, 265 to 340 kg
2007;WSM Final - group;Safe Lift;115 kg / 75 second time limit
2007;WSM Final - group;Atlas Stones;5 implements / 75 second time limit / 100 to 160 kg
2007;WSM Final - group;Medley;32 meters / 75 second time limit / 120 kg farmer's walk (10 m), 100 kg barrel (10 m), 111 kg barrel (12 m)
2007;WSM Final - group;Hercules Hold;160 kg
2007;WSM Final - group;Squat Lift;75 second time limit / 7 lifts, 260 to 360 kg
2007;WSM Final - group;Safe Lift;115 kg / 75 second time limit
2007;WSM Final - group;Keg Toss;10 implements / 90 second time limit / 10x 22.5 kg kegs, 4.00 metres
2007;WSM Final - group;Atlas Stones;5 implements / 75 second time limit / 100 to 160 kg
2007;WSM Final - group;Medley;32 meters / 75 second time limit / 225 kg duck walk (10 m), 100 kg barrel (10 m), 111 kg barrel (12 m)
2007;WSM Final - group;Fingal's Fingers;5 implements / 75 second time limit / 200 to 300 kg
2007;WSM Final - group;Hercules Hold;160 kg
2007;WSM Final - group;Deadlift;75 second time limit / 7 lifts, 265 to 340 kg
2007;WSM Final - group;Safe Lift;115 kg / 75 second time limit
2007;WSM Final - group;Atlas Stones;5 implements / 75 second time limit / 100 to 160 kg
2007;WSM Final - group;Medley;32 meters / 75 second time limit / 225 kg duck walk (10 m), 100 kg barrel (10 m), 111 kg barrel (12 m)
2007;WSM Final - group;Hercules Hold;160 kg
2007;WSM Final - group;Log Lift;125 kg / 75 second time limit
2007;WSM Final - group;Squat Lift;75 second time limit / 7 lifts, 260 to 360 kg
2007;WSM Final - group;Keg Toss;10 implements / 90 second time limit / 10x 22.5 kg kegs, 4.00 metres
2007;WSM Final - group;Atlas Stones;5 implements / 75 second time limit / 100 to 160 kg
2007;WSM Final - group;Medley;32 meters / 75 second time limit / 225 kg duck walk (10 m), 100 kg barrel (10 m), 111 kg barrel (12 m)
2007;WSM Final - group;Fingal's Fingers;5 implements / 75 second time limit / 200 to 300 kg
2007;WSM Final - group;Log Lift;125 kg / 75 second time limit
2007;WSM Final - group;Deadlift;75 second time limit / 7 lifts, 265 to 340 kg
2007;WSM Final - group;Keg Toss;10 implements / 90 second time limit / 10x 22.5 kg kegs, 4.00 metres
2007;WSM Final - group;Atlas Stones;5 implements / 75 second time limit / 100 to 160 kg
2008;WSM Final - group;Loading Race;4 implements / 12 meters / 75 second time limit / 2 kegs: 105 kg, 2 sacks: 125 kg
2008;WSM Final - group;Fingal's Fingers;5 implements / 75 second time limit / 200 to 320 kg
2008;WSM Final - group;Truck Pull;22500 kg / 20 meters / 75 second time limit
2008;WSM Final - group;Deadlift;75 second time limit / 7 lifts, 265 to 363 kg
2008;WSM Final - group;Viking Press;138 kg / 75 second time limit / Resting allowed
2008;WSM Final - group;Atlas Stones;5 implements / 75 second time limit / 100 to 180 kg
2008;WSM Final - group;Loading Race;4 implements / 12 meters / 75 second time limit / 2 kegs: 105 kg, 2 sacks: 125 kg
2008;WSM Final - group;Keg Toss;8 implements / 75 second time limit / 15 to 22 kg, 4.90 metres
2008;WSM Final - group;Truck Pull;22500 kg / 20 meters / 75 second time limit
2008;WSM Final - group;Squat Lift;75 second time limit / 7 lifts, 265 to 363 kg
2008;WSM Final - group;Axle Press;136 kg / 75 second time limit
2008;WSM Final - group;Atlas Stones;5 implements / 75 second time limit / 100 to 180 kg
2008;WSM Final - group;Loading Race;4 implements / 12 meters / 75 second time limit / 2 kegs: 105 kg, 2 sacks: 125 kg
2008;WSM Final - group;Keg Toss;8 implements / 75 second time limit / 15 to 22 kg, 4.90 metres
2008;WSM Final - group;Truck Pull;22500 kg / 20 meters / 75 second time limit
2008;WSM Final - group;Deadlift;75 second time limit / 7 lifts, 265 to 363 kg
2008;WSM Final - group;Axle Press;136 kg / 75 second time limit
2008;WSM Final - group;Atlas Stones;5 implements / 75 second time limit / 100 to 180 kg
2008;WSM Final - group;Loading Race;4 implements / 12 meters / 75 second time limit / 2 kegs: 105 kg, 2 sacks: 125 kg
2008;WSM Final - group;Fingal's Fingers;5 implements / 75 second time limit / 200 to 320 kg
2008;WSM Final - group;Truck Pull;22500 kg / 20 meters / 75 second time limit
2008;WSM Final - group;Squat Lift;75 second time limit / 7 lifts, 265 to 363 kg
2008;WSM Final - group;Axle Press;136 kg / 75 second time limit
2008;WSM Final - group;Atlas Stones;5 implements / 75 second time limit / 100 to 180 kg
2008;WSM Final - group;Loading Race;4 implements / 12 meters / 75 second time limit / 2 kegs: 105 kg, 2 sacks: 125 kg
2008;WSM Final - group;Keg Toss;8 implements / 75 second time limit / 15 to 22 kg, 4.90 metres
2008;WSM Final - group;Truck Pull;22500 kg / 20 meters / 75 second time limit
2008;WSM Final - group;Deadlift;75 second time limit / 7 lifts, 265 to 363 kg
2008;WSM Final - group;Viking Press;138 kg / 75 second time limit / Resting allowed
2008;WSM Final - group;Atlas Stones;5 implements / 75 second time limit / 100 to 180 kg
2009;WSM Final - group;Carry & Drag;75 second time limit / Cannonball + keg load into cart, 335 kg drag for 20 metres
2009;WSM Final - group;Truck Pull;20000 kg / 25 meters / 75 second time limit
2009;WSM Final - group;Squat Lift;75 second time limit / 7 lifts, 280 to 370 kg
2009;WSM Final - group;Car Walk;431 kg / 25 meters / 75 second time limit
2009;WSM Final - group;Dumbbell Press;95 kg / 75 second time limit
2009;WSM Final - group;Atlas Stones;5 implements / 75 second time limit / 100 to 160 kg
2009;WSM Final - group;Medley;75 second time limit / 335 kg chain drag, 2x 105 kg keg load
2009;WSM Final - group;Truck Pull;20000 kg / 25 meters / 75 second time limit
2009;WSM Final - group;Deadlift;75 second time limit / 7 lifts, 270 to 363 kg
2009;WSM Final - group;Fingal's Fingers;5 implements / 75 second time limit / 200 to 320 kg
2009;WSM Final - group;Keg Toss;8 implements / 75 second time limit / 17 to 24 kg, 5.00 metres
2009;WSM Final - group;Atlas Stones;5 implements / 75 second time limit / 100 to 160 kg
2009;WSM Final - group;Carry & Drag;75 second time limit / Cannonball + keg load into cart, 335 kg drag for 20 metres
2009;WSM Final - group;Truck Pull;20000 kg / 25 meters / 75 second time limit
2009;WSM Final - group;Deadlift;75 second time limit / 7 lifts, 270 to 363 kg
2009;WSM Final - group;Car Walk;431 kg / 25 meters / 75 second time limit
2009;WSM Final - group;Dumbbell Press;95 kg / 75 second time limit
2009;WSM Final - group;Atlas Stones;5 implements / 75 second time limit / 100 to 160 kg
2009;WSM Final - group;Medley;75 second time limit / 335 kg chain drag, 2x 105 kg keg load
2009;WSM Final - group;Truck Pull;20000 kg / 25 meters / 75 second time limit
2009;WSM Final - group;Squat Lift;75 second time limit / 7 lifts, 280 to 370 kg
2009;WSM Final - group;Car Walk;431 kg / 25 meters / 75 second time limit
2009;WSM Final - group;Keg Toss;8 implements / 75 second time limit / 17 to 24 kg, 5.00 metres
2009;WSM Final - group;Atlas Stones;5 implements / 75 second time limit / 100 to 160 kg
2009;WSM Final - group;Carry & Drag;75 second time limit / Cannonball + keg load into cart, 335 kg drag for 20 metres
2009;WSM Final - group;Truck Pull;20000 kg / 25 meters / 75 second time limit
2009;WSM Final - group;Deadlift;75 second time limit / 7 lifts, 270 to 363 kg
2009;WSM Final - group;Fingal's Fingers;5 implements / 75 second time limit / 200 to 320 kg
2009;WSM Final - group;Keg Toss;8 implements / 75 second time limit / 17 to 24 kg, 5.00 metres
2009;WSM Final - group;Atlas Stones;5 implements / 75 second time limit / 100 to 160 kg
2010;WSM Final - group;Medley;40 meters / 75 second time limit / 125 kg farmer's walk, 7x 450 kg tire flip (20 metres each)
2010;WSM Final - group;Truck Pull;20000 kg / 20 meters / 75 second time limit
2010;WSM Final - group;Power Stairs;225 kg / 75 second time limit / 12 stairs
2010;WSM Final - group;Deadlift;345 kg / 75 second time limit
2010;WSM Final - group;Axle Press;155 kg / 75 second time limit
2010;WSM Final - group;Loading Race;4 implements / 75 second time limit / 4x 110 kg kegs
2010;WSM Final - group;Farmer's Walk;160 kg / 40 meters / 75 second time limit
2010;WSM Final - group;Power Stairs;225 kg / 75 second time limit / 12 stairs
2010;WSM Final - group;Deadlift;345 kg / 75 second time limit
2010;WSM Final - group;Africa Stone;175 kg
2010;WSM Final - group;Block Press;4 implements / 75 second time limit / 110 to 150 kg
2010;WSM Final - group;Loading Race;4 implements / 75 second time limit / 4x 110 kg kegs
2010;WSM Final - group;Medley;40 meters / 75 second time limit / 125 kg farmer's walk, 7x 450 kg tire flip (20 metres each)
2010;WSM Final - group;Truck Pull;20000 kg / 20 meters / 75 second time limit
2010;WSM Final - group;Power Stairs;225 kg / 75 second time limit / 12 stairs
2010;WSM Final - group;Deadlift;345 kg / 75 second time limit
2010;WSM Final - group;Dumbbell Press;95 kg / 75 second time limit
2010;WSM Final - group;Loading Race;4 implements / 75 second time limit / 4x 110 kg kegs
2010;WSM Final - group;Farmer's Walk;160 kg / 40 meters / 75 second time limit
2010;WSM Final - group;Squat Lift;345 kg / 75 second time limit
2010;WSM Final - group;Africa Stone;175 kg
2010;WSM Final - group;Axle Press;155 kg / 75 second time limit
2010;WSM Final - group;Deadlift Hold;370 kg
2010;WSM Final - group;Loading Race;4 implements / 75 second time limit / 4x 110 kg kegs
2010;WSM Final - group;Medley;40 meters / 75 second time limit / 125 kg farmer's walk, 7x 450 kg tire flip (20 metres each)
2010;WSM Final - group;Squat Lift;345 kg / 75 second time limit
2010;WSM Final - group;Africa Stone;175 kg
2010;WSM Final - group;Block Press;4 implements / 75 second time limit / 110 to 150 kg
2010;WSM Final - group;Deadlift Hold;370 kg
2010;WSM Final - group;Loading Race;4 implements / 75 second time limit / 4x 110 kg kegs
2011;WSM Final - group;Loading Race;4 implements / 75 second time limit / 2 kegs: 115 kg, 2 kegs: 120 kg
2011;WSM Final - group;Car Walk;450 kg / 25 meters / 75 second time limit
2011;WSM Final - group;Truck Pull;12000 kg / 20 meters / 75 second time limit
2011;WSM Final - group;Deadlift;360 kg / 75 second time limit / Car deadlift
2011;WSM Final - group;Dumbbell Press;4 implements / 90 second time limit / 100 to 115 kg
2011;WSM Final - group;Atlas Stones;5 implements / 75 second time limit / 120 to 180 kg
2011;WSM Final - group;Loading Race;4 implements / 75 second time limit / 4x 125 kg sacks
2011;WSM Final - group;Keg Toss;8 implements / 75 second time limit / 18 to 25 kg, 4.00 metres
2011;WSM Final - group;Squat Lift;325 kg / 75 second time limit
2011;WSM Final - group;Truck Pull;12000 kg / 20 meters / 75 second time limit
2011;WSM Final - group;Dumbbell Press;4 implements / 90 second time limit / 100 to 115 kg
2011;WSM Final - group;Atlas Stones;5 implements / 75 second time limit / 120 to 180 kg
2011;WSM Final - group;Loading Race;4 implements / 75 second time limit / 4x 125 kg sacks
2011;WSM Final - group;Keg Toss;8 implements / 75 second time limit / 18 to 25 kg, 4.00 metres
2011;WSM Final - group;Car Walk;450 kg / 25 meters / 75 second time limit
2011;WSM Final - group;Deadlift;360 kg / 75 second time limit / Car deadlift
2011;WSM Final - group;Block Press;4 implements / 90 second time limit / 110 to 150 kg
2011;WSM Final - group;Atlas Stones;5 implements / 75 second time limit / 120 to 180 kg
2011;WSM Final - group;Loading Race;4 implements / 75 second time limit / 4x 125 kg sacks
2011;WSM Final - group;Keg Toss;8 implements / 75 second time limit / 18 to 25 kg, 4.00 metres
2011;WSM Final - group;Squat Lift;325 kg / 75 second time limit
2011;WSM Final - group;Truck Pull;12000 kg / 20 meters / 75 second time limit
2011;WSM Final - group;Block Press;4 implements / 90 second time limit / 110 to 150 kg
2011;WSM Final - group;Atlas Stones;5 implements / 75 second time limit / 120 to 180 kg
2011;WSM Final - group;Loading Race;4 implements / 75 second time limit / 4x 125 kg sacks
2011;WSM Final - group;Keg Toss;8 implements / 75 second time limit / 18 to 25 kg, 4.00 metres
2011;WSM Final - group;Car Walk;450 kg / 25 meters / 75 second time limit
2011;WSM Final - group;Deadlift Hold;370 kg
2011;WSM Final - group;Block Press;4 implements / 90 second time limit / 110 to 150 kg
2011;WSM Final - group;Atlas Stones;5 implements / 75 second time limit / 120 to 180 kg
2012;WSM Final - group;Loading Race;4 implements / 75 second time limit / 2 kegs: 120 kg, 2 sacks: 125 kg
2012;WSM Final - group;Truck Pull;8000 kg / 30 meters / 75 second time limit
2012;WSM Final - group;Dumbbell Press;95 kg / 75 second time limit
2012;WSM Final - group;Deadlift;354 kg / 75 second time limit / Car deadlift
2012;WSM Final - group;Keg Toss;8 implements / 75 second time limit / 18 to 25 kg, 4.75 metres
2012;WSM Final - group;Atlas Stones;5 implements / 75 second time limit / 125 to 186 kg
2012;WSM Final - group;Loading Race;4 implements / 75 second time limit / 4x 125 kg anvils
2012;WSM Final - group;Truck Pull;8000 kg / 30 meters / 75 second time limit
2012;WSM Final - group;Viking Press;155 kg / 75 second time limit / No resting allowed
2012;WSM Final - group;Super Yoke;455 kg / 25 meters / 75 second time limit
2012;WSM Final - group;Squat Lift;318 kg / 75 second time limit
2012;WSM Final - group;Atlas Stones;5 implements / 75 second time limit / 125 to 186 kg
2012;WSM Final - group;Loading Race;4 implements / 75 second time limit / 2 kegs: 120 kg, 2 sacks: 125 kg
2012;WSM Final - group;Arm Over Arm Pull;7000 kg / 20 meters / 75 second time limit
2012;WSM Final - group;Dumbbell Press;95 kg / 75 second time limit
2012;WSM Final - group;Deadlift;354 kg / 75 second time limit / Car deadlift
2012;WSM Final - group;Keg Toss;8 implements / 75 second time limit / 18 to 25 kg, 4.75 metres
2012;WSM Final - group;Atlas Stones;5 implements / 75 second time limit / 125 to 186 kg
2012;WSM Final - group;Loading Race;4 implements / 75 second time limit / 4x 125 kg anvils
2012;WSM Final - group;Arm Over Arm Pull;7000 kg / 20 meters / 75 second time limit
2012;WSM Final - group;Viking Press;155 kg / 75 second time limit / No resting allowed
2012;WSM Final - group;Squat Lift;318 kg / 75 second time limit
2012;WSM Final - group;Keg Toss;8 implements / 75 second time limit / 18 to 25 kg, 4.75 metres
2012;WSM Final - group;Atlas Stones;5 implements / 75 second time limit / 125 to 186 kg
2012;WSM Final - group;Loading Race;4 implements / 75 second time limit / 4x 125 kg anvils
2012;WSM Final - group;Truck Pull;8000 kg / 30 meters / 75 second time limit
2012;WSM Final - group;Viking Press;155 kg / 75 second time limit / No resting allowed
2012;WSM Final - group;Super Yoke;455 kg / 25 meters / 75 second time limit
2012;WSM Final - group;Deadlift;354 kg / 75 second time limit / Car deadlift
2012;WSM Final - group;Atlas Stones;5 implements / 75 second time limit / 125 to 186 kg
2013;WSM Final - group;Loading Race;4 implements / 75 second time limit / 2 kegs: 120 kg, 2 sacks: 125 kg
2013;WSM Final - group;Viking Press;150 kg / 60 second time limit / No resting allowed
2013;WSM Final - group;Squat Lift;325 kg / 60 second time limit
2013;WSM Final - group;Fingal's Fingers;5 implements / 75 second time limit / 200 to 320 kg
2013;WSM Final - group;Truck Pull;12000 kg / 25 meters / 75 second time limit
2013;WSM Final - group;Atlas Stones;5 implements / 75 second time limit / 130 to 186 kg
2013;WSM Final - group;Super Yoke;450 kg / 30 meters / 60 second time limit
2013;WSM Final - group;Deadlift Hold;360 kg
2013;WSM Final - group;Axle Press;162 kg / 60 second time limit
2013;WSM Final - group;Truck Pull;12000 kg / 25 meters / 75 second time limit
2013;WSM Final - group;Keg Toss;8 implements / 75 second time limit / 18 to 25 kg, 4.80 metres
2013;WSM Final - group;Atlas Stones;5 implements / 75 second time limit / 130 to 186 kg
2013;WSM Final - group;Loading Race;4 implements / 75 second time limit / 2 kegs: 120 kg, 2 sacks: 125 kg
2013;WSM Final - group;Deadlift;360 kg / 60 second time limit / Car deadlift
2013;WSM Final - group;Axle Press;162 kg / 60 second time limit
2013;WSM Final - group;Fingal's Fingers;5 implements / 75 second time limit / 200 to 320 kg
2013;WSM Final - group;Keg Toss;8 implements / 75 second time limit / 18 to 25 kg, 4.80 metres
2013;WSM Final - group;Atlas Stones;5 implements / 75 second time limit / 130 to 186 kg
2013;WSM Final - group;Loading Race;4 implements / 75 second time limit / 2 kegs: 120 kg, 2 sacks: 125 kg
2013;WSM Final - group;Deadlift;360 kg / 60 second time limit / Car deadlift
2013;WSM Final - group;Viking Press;150 kg / 60 second time limit / No resting allowed
